DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.20935/al2610,10.20935,"Florentino Ariza as a Machiavellian artist in Gabriel Garcia Marquez's ""Love in the times of Cholera""",en,Academia Letters,,Academia.edu,http://dx.doi.org/10.20935/al2610,2021-8-4,2021-8-4,2021-8-4,2021-12-8,2021-8-17,0,0,journal-article,9563
10.20935/al953,10.20935,A Novel Treatment Approach in Alzheimer’s Disease: sAPPα,en,Academia Letters,,Academia.edu,http://dx.doi.org/10.20935/al953,2021-4-28,2021-4-28,2021-4-28,2021-12-12,2021-4-28,0,0,journal-article,9563
10.20935/al106,10.20935,Designing optimal welfare policies for intermediate public transportation systems: A developing country perspective,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al106,2020-12-29,2020-12-29,2020-12-29,2022-3-13,2021-1-14,0,1,journal-article,9563
10.20935/al421,10.20935,Back and Forth: The Journey of Inclusive Education in Africa,en,Academia Letters,,Academia.edu,http://dx.doi.org/10.20935/al421,2021-3-4,2021-3-4,2021-3-4,2021-12-18,2021-3-6,0,0,journal-article,9563
10.20935/al3740,10.20935,A Proof of Concept Randomized Controlled Trial of the Canopie Programme: A Brief Digital Intervention for Addressing Postpartum Depression,en,Academia Letters,,Academia.edu,http://dx.doi.org/10.20935/al3740,2021-10-20,2021-10-20,2021-10-20,2021-12-9,2021-11-11,0,0,journal-article,9563
10.20935/al3783,10.20935,Dramatherapy: Ritual Metamorphosed,en,Academia Letters,,Academia.edu,http://dx.doi.org/10.20935/al3783,2021-10-25,2021-10-25,2021-10-25,2021-12-17,2021-10-27,0,0,journal-article,9563
10.20935/al2145,10.20935,Chasing the Overseas Dream: Comical Evasion of Reality and Chal Mera Putt,en,Academia Letters,,Academia.edu,http://dx.doi.org/10.20935/al2145,2021-7-15,2021-7-15,2021-7-15,2022-2-4,2021-9-2,0,0,journal-article,9563
10.20935/al4855,10.20935,The Gift,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4855,2022-2-26,2022-2-26,2022-2-26,2022-3-8,2022-3-1,0,0,journal-article,9563
10.20935/al4775,10.20935,A New Paradigm in Addressing Data Uncertainty: Discussion and Future research,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4775,2022-1-28,2022-1-28,2022-1-28,2022-3-8,2022-2-4,0,0,journal-article,9563
10.20935/al4770,10.20935,The Role of Skin Colour in the Sixth Century A.D.,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4770,2022-1-28,2022-1-28,2022-1-28,2022-3-8,2022-2-8,0,0,journal-article,9563
10.20935/al4412,10.20935,Discrepancies between Continuous Assessment (CA) and National Examination marks in Grade 10 Mathematics: A reflection on Views and Practices of Ten Schools in Oshikoto Education Region,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4412,2021-12-18,2021-12-18,2021-12-18,2022-3-8,2022-2-24,0,0,journal-article,9563
10.20935/al4588,10.20935,Eliminating Air Pollution in Cities Through Sustainable Urban Planning,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4588,2022-1-3,2022-1-3,2022-1-3,2022-3-8,2022-1-7,0,0,journal-article,9563
10.20935/al4887,10.20935,Another round? Centrifuge-based training and its applications for long-term spaceflight,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4887,2022-2-28,2022-2-28,2022-2-28,2022-3-8,2022-3-3,0,0,journal-article,9563
10.20935/al4643,10.20935,Worship of the German Forest: An Historical Overview,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4643,2022-1-13,2022-1-13,2022-1-13,2022-3-8,2022-1-22,0,0,journal-article,9563
10.20935/al4629,10.20935,Lives and Livelihoods: Potential Health and Economic Impacts of the  COVID-19 Pandemic on the DC Workforce,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4629,2022-1-6,2022-1-6,2022-1-6,2022-3-8,2022-1-7,0,0,journal-article,9563
10.20935/al4361,10.20935,Actual Scenario of Existing Marketing System of Maize in Bangladesh,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4361,2021-12-14,2021-12-14,2021-12-14,2022-3-8,2022-1-21,0,0,journal-article,9563
10.20935/al4757,10.20935,Networks of Influence: Peopling Collections at The Museum of London and Brooklyn Historical Society 1989-1994,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4757,2022-1-23,2022-1-23,2022-1-23,2022-3-8,2022-1-26,0,0,journal-article,9563
10.20935/al4767,10.20935,Useful Incongruences,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4767,2022-1-27,2022-1-27,2022-1-27,2022-3-8,2022-2-2,0,0,journal-article,9563
10.20935/al4764,10.20935,Linking Dewey’s Logic to His Concept of Growth: A Personal Encounter,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4764,2022-1-23,2022-1-23,2022-1-23,2022-3-8,2022-1-31,0,0,journal-article,9563
10.20935/al4644,10.20935,"Beforeigners, Thor Heyerdahl, and Ludwig Gumplowicz: The concept of timesism, temporal racism, or acrochronism",en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4644,2022-1-13,2022-1-13,2022-1-13,2022-3-8,2022-1-29,0,0,journal-article,9563
10.20935/al4795,10.20935,A Brief Assessment of the Principles of International Environmental Law,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4795,2022-1-30,2022-1-30,2022-1-30,2022-3-8,2022-2-4,0,0,journal-article,9563
10.20935/al4760,10.20935,Social Capital in Community Development: A Corner Stone in the right to participation and the Leave No One Behind,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al4760,2022-1-23,2022-1-23,2022-1-23,2022-3-8,2022-2-4,0,0,journal-article,9563
10.20935/al511,10.20935,Solar Thermal Hot Water for Hotels,en,Academia Letters,2771-9359,Academia.edu,http://dx.doi.org/10.20935/al511,2021-3-12,2021-3-12,2021-3-12,2022-3-8,2021-4-24,0,0,journal-article,9563
