given,family,sequence,affiliation,DOI
Nithin K.,K,first,,10.12688/f1000research.51786.1
Prakash,Patil,additional,,10.12688/f1000research.51786.1
Satheesh Kumar,Bhandary,additional,,10.12688/f1000research.51786.1
Vikram,Haridas,additional,,10.12688/f1000research.51786.1
Suchetha Kumari,N,additional,,10.12688/f1000research.51786.1
Sarathkumar,E,additional,,10.12688/f1000research.51786.1
Praveenkumar,Shetty,additional,,10.12688/f1000research.51786.1
Agung,Putra,first,,10.12688/f1000research.51191.3
Agus,Widyatmoko,additional,,10.12688/f1000research.51191.3
Sugeng,Ibrahim,additional,,10.12688/f1000research.51191.3
Fajar,Amansyah,additional,,10.12688/f1000research.51191.3
Farid,Amansyah,additional,,10.12688/f1000research.51191.3
Mukti Arja,Berlian,additional,,10.12688/f1000research.51191.3
Retnaningsih,Retnaningsih,additional,,10.12688/f1000research.51191.3
Zenitalia,Pasongka,additional,,10.12688/f1000research.51191.3
Flora Eka,Sari,additional,,10.12688/f1000research.51191.3
Basuki,Rachmad,additional,,10.12688/f1000research.51191.3
Fabrizio,Menardo,first,,10.12688/f1000research.28318.1
Liliana K.,Rutaihwa,additional,,10.12688/f1000research.28318.1
Michaela,Zwyer,additional,,10.12688/f1000research.28318.1
Sonia,Borrell,additional,,10.12688/f1000research.28318.1
Iñaki,Comas,additional,,10.12688/f1000research.28318.1
Emilyn Costa,Conceição,additional,,10.12688/f1000research.28318.1
Mireia,Coscolla,additional,,10.12688/f1000research.28318.1
Helen,Cox,additional,,10.12688/f1000research.28318.1
Moses,Joloba,additional,,10.12688/f1000research.28318.1
Horng-Yunn,Dou,additional,,10.12688/f1000research.28318.1
Julia,Feldmann,additional,,10.12688/f1000research.28318.1
Lukas,Fenner,additional,,10.12688/f1000research.28318.1
Janet,Fyfe,additional,,10.12688/f1000research.28318.1
Qian,Gao,additional,,10.12688/f1000research.28318.1
Darío,García de Viedma,additional,,10.12688/f1000research.28318.1
Alberto L.,Garcia-Basteiro,additional,,10.12688/f1000research.28318.1
Sebastian M.,Gygli,additional,,10.12688/f1000research.28318.1
Jerry,Hella,additional,,10.12688/f1000research.28318.1
Hellen,Hiza,additional,,10.12688/f1000research.28318.1
Levan,Jugheli,additional,,10.12688/f1000research.28318.1
Lujeko,Kamwela,additional,,10.12688/f1000research.28318.1
Midori,Kato-Maeda,additional,,10.12688/f1000research.28318.1
Qingyun,Liu,additional,,10.12688/f1000research.28318.1
Serej D.,Ley,additional,,10.12688/f1000research.28318.1
Chloe,Loiseau,additional,,10.12688/f1000research.28318.1
Surakameth,Mahasirimongkol,additional,,10.12688/f1000research.28318.1
Bijaya,Malla,additional,,10.12688/f1000research.28318.1
Prasit,Palittapongarnpim,additional,,10.12688/f1000research.28318.1
