DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.12688/f1000research.51786.1,10.12688,Is butyrate a natural alternative to dexamethasone in the management of CoVID-19?,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.51786.1,2021-4-6,2021-4-6,2021-4-6,2022-1-7,2021-4-6,149,4,journal-article,2560
10.12688/f1000research.51191.3,10.12688,Case series of the first three severe COVID-19 patients treated with the secretome of hypoxia-mesenchymal stem cells in Indonesia,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.51191.3,2021-10-22,2021-10-22,2021-10-22,2022-1-7,2021-10-22,22,0,journal-article,2560
10.12688/f1000research.28318.1,10.12688,Local adaptation in populations of Mycobacterium tuberculosis endemic to the Indian Ocean Rim,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.28318.1,2021-2-1,2021-2-1,2021-2-1,2022-1-28,2021-2-1,83,3,journal-article,2560
10.12688/f1000research.55502.3,10.12688,Association of smoking status with hospitalisation for COVID-19 compared with other respiratory viruses a year previous: a case-control study at a single UK National Health Service trust,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.55502.3,2022-1-17,2022-1-17,2022-1-17,2022-1-28,2022-1-17,36,0,journal-article,2560
10.12688/f1000research.53539.2,10.12688,Prevalence of cancer as a comorbid in COVID-19 patients and their characteristics: a meta-analysis study,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.53539.2,2022-1-27,2022-1-27,2022-1-27,2022-1-28,2022-1-27,53,0,journal-article,2560
10.12688/f1000research.53874.1,10.12688,Rates and predictors of data and code sharing in the medical and health sciences: Protocol for a systematic review and individual participant data meta-analysis.,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.53874.1,2021-6-22,2021-6-22,2021-6-22,2021-12-8,2021-6-22,47,0,journal-article,2560
10.12688/f1000research.51208.1,10.12688,Quadriceps muscle power and optimal shortening velocity are inversely related to angiotensin converting enzyme activity in older men,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.51208.1,2021-3-5,2021-3-5,2021-3-5,2021-12-8,2021-3-5,45,0,journal-article,2560
10.12688/f1000research.29969.1,10.12688,Personalisation of treatment pathways – analysis of chances and barriers by the implementation of digital technologies under the conditions of the German Health System,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.29969.1,2021-2-25,2021-2-25,2021-2-25,2021-12-8,2021-2-25,31,0,journal-article,2560
10.12688/f1000research.28311.3,10.12688,Case Report: Successful revascularization in massive pulmonary embolism with a large protruding thrombus and dilated cardiomyopathy,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.28311.3,2021-3-22,2021-3-22,2021-3-22,2021-12-9,2021-3-22,17,0,journal-article,2560
10.12688/f1000research.26092.2,10.12688,"Interprofessional grant writing seminar for early career faculty in a small, isolated teaching center",en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.26092.2,2021-7-30,2021-7-30,2021-7-30,2021-12-12,2021-7-30,6,0,journal-article,2560
10.12688/f1000research.51523.1,10.12688,Analysing students’ environmental awareness profile using strategic environmental assessment,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.51523.1,2021-4-20,2021-4-20,2021-4-20,2021-12-12,2021-4-20,58,0,journal-article,2560
10.12688/f1000research.24469.2,10.12688,The use of ‘PICO for synthesis’ and methods for synthesis without meta-analysis: protocol for a survey of current practice in systematic reviews of health interventions,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.24469.2,2021-1-29,2021-1-29,2021-1-29,2021-12-12,2021-1-29,29,0,journal-article,2560
10.12688/f1000research.54045.1,10.12688,Delicate balance: the relationship between internal astigmatism and lens astigmatism,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.54045.1,2021-7-1,2021-7-1,2021-7-1,2021-12-13,2021-7-1,26,0,journal-article,2560
10.12688/f1000research.54729.1,10.12688,Interplay between COVID-19 vaccines and social measures for ending the SARS-CoV-2 pandemic,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.54729.1,2021-8-13,2021-8-13,2021-8-13,2022-3-11,2021-8-13,24,2,journal-article,2560
10.12688/f1000research.27287.2,10.12688,‘The long tail of Covid-19’ - The detection of a prolonged inflammatory response after a SARS-CoV-2 infection in asymptomatic and mildly affected patients,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.27287.2,2021-1-8,2021-1-8,2021-1-8,2022-3-11,2021-1-8,16,19,journal-article,2560
10.12688/f1000research.108970.1,10.12688,"DNA barcoding detects resurrected taxon Giuris laglaizei (Sauvage 1880) in Sulawesi, Indonesia: Bolano Sau Lake payangka phylogeny, phenotypic characters and implications for Giuris spp. conservation",en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.108970.1,2022-3-10,2022-3-10,2022-3-10,2022-3-12,2022-3-10,98,0,journal-article,2560
10.12688/f1000research.74013.1,10.12688,"COVID-19, pseudo-declining skin cancer rates and the rise of teledermatology",en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.74013.1,2021-12-3,2021-12-3,2021-12-3,2021-12-10,2021-12-3,12,0,journal-article,2560
10.12688/f1000research.25441.2,10.12688,Case Report: Pediatric pharmacobezoar with subacute intestinal obstruction,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.25441.2,2021-11-2,2021-11-2,2021-11-2,2021-12-10,2021-11-2,7,0,journal-article,2560
10.12688/f1000research.6718.3,10.12688,The Immune System and Responses to Cancer: Coordinated Evolution,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.6718.3,2021-1-27,2021-1-27,2021-1-27,2021-12-10,2021-1-27,144,1,journal-article,2560
10.12688/f1000research.52173.1,10.12688,target: an R package to predict combined function of transcription factors,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.52173.1,2021-5-5,2021-5-5,2021-5-5,2021-12-10,2021-5-5,13,0,journal-article,2560
10.12688/f1000research.52782.1,10.12688,Vasoactive agents in acute mesenteric ischaemia in critical care.  A systematic review,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.52782.1,2021-6-8,2021-6-8,2021-6-8,2021-12-10,2021-6-8,34,0,journal-article,2560
10.12688/f1000research.27089.1,10.12688,In silico analysis of cross reactivity among phospholipases from Hymenoptera species,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.27089.1,2021-1-5,2021-1-5,2021-1-5,2021-12-11,2021-1-5,36,0,journal-article,2560
10.12688/f1000research.74051.1,10.12688,Case Report: Acute abdomen presentation revealing a metastatic invasive mole with uterine rupture,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.74051.1,2021-11-4,2021-11-4,2021-11-4,2021-12-11,2021-11-4,12,0,journal-article,2560
10.12688/f1000research.74877.1,10.12688,Forecasting electricity consumption of Malaysia’s residential sector: Evidence from an exponential smoothing model,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.74877.1,2022-1-17,2022-1-17,2022-1-17,2022-1-18,2022-1-17,19,0,journal-article,2560
10.12688/f1000research.73561.2,10.12688,Effect of cogon grass root ethanol extract on fatty acid binding protein 4 and oxidative stress markers in a sepsis mouse model,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.73561.2,2022-1-13,2022-1-13,2022-1-13,2022-1-18,2022-1-13,56,0,journal-article,2560
10.12688/f1000research.52208.2,10.12688,Stage 1 Registered Report: Testing mediumship accuracy with a triple-blind protocol,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.52208.2,2021-5-21,2021-5-21,2021-5-21,2021-12-12,2021-5-21,11,0,journal-article,2560
10.12688/f1000research.20999.3,10.12688,"Perceptions of Surrogacy Within the Yoruba Socio-Cultural Context of Ado-Ekiti, Nigeria",en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.20999.3,2021-2-8,2021-2-8,2021-2-8,2021-12-12,2021-2-8,35,0,journal-article,2560
10.12688/f1000research.73498.1,10.12688,An enhanced broadband class-J mode power amplifier for 5G smart meter applications,en,F1000Research,2046-1402,F1000 Research Ltd,http://dx.doi.org/10.12688/f1000research.73498.1,2021-10-29,2021-10-29,2021-10-29,2021-12-12,2021-10-29,28,0,journal-article,2560
