given,family,sequence,affiliation,DOI
Sara,Andreetta,first,,10.12688/openreseurope.13663.1
Oleksandra,Soldatkina,additional,,10.12688/openreseurope.13663.1
Vezha,Boboeva,additional,,10.12688/openreseurope.13663.1
Alessandro,Treves,additional,,10.12688/openreseurope.13663.1
Nathan,Clark,first,,10.12688/openreseurope.13721.1
Kees,Boersma,additional,,10.12688/openreseurope.13721.1
Sara,Bonati,additional,,10.12688/openreseurope.13721.1
Chiara,Fonio,additional,,10.12688/openreseurope.13721.1
Simon,Gehlhar,additional,,10.12688/openreseurope.13721.1
Therese,Habig,additional,,10.12688/openreseurope.13721.1
Richard,Lüke,additional,,10.12688/openreseurope.13721.1
Stefano,Morelli,additional,,10.12688/openreseurope.13721.1
Anne Bach,Nielsen,additional,,10.12688/openreseurope.13721.1
Antonio,Opromolla,additional,,10.12688/openreseurope.13721.1
Veronica,Pazzi,additional,,10.12688/openreseurope.13721.1
Emmanuel,Raju,additional,,10.12688/openreseurope.13721.1
Otto,Kässi,first,,10.12688/openreseurope.13639.2
Vili,Lehdonvirta,additional,,10.12688/openreseurope.13639.2
Fabian,Stephany,additional,,10.12688/openreseurope.13639.2
Charilaos,Papaevangelou,first,,10.12688/openreseurope.13358.2
Rawlance,Ndejjo,first,,10.12688/openreseurope.13286.1
Paineto,Masengere,additional,,10.12688/openreseurope.13286.1
Fred,Nuwaha,additional,,10.12688/openreseurope.13286.1
Isaac,Ddumba,additional,,10.12688/openreseurope.13286.1
Hilde,Bastiaens,additional,,10.12688/openreseurope.13286.1
Rhoda K.,Wanyenze,additional,,10.12688/openreseurope.13286.1
Geofrey,Musinguzi,additional,,10.12688/openreseurope.13286.1
Daniel,Spichtinger,first,,10.12688/openreseurope.13342.1
Diana,Süsser,first,,10.12688/openreseurope.13683.1
Andrzej,Ceglarz,additional,,10.12688/openreseurope.13683.1
Vassilis,Stavrakas,additional,,10.12688/openreseurope.13683.1
Johan,Lilliestam,additional,,10.12688/openreseurope.13683.1
Julia Nadine,Doetsch,first,,10.12688/openreseurope.13689.1
Vasco,Dias,additional,,10.12688/openreseurope.13689.1
Marit S.,Indredavik,additional,,10.12688/openreseurope.13689.1
Jarkko,Reittu,additional,,10.12688/openreseurope.13689.1
Randi Kallar,Devold,additional,,10.12688/openreseurope.13689.1
Raquel,Teixeira,additional,,10.12688/openreseurope.13689.1
Eero,Kajantie,additional,,10.12688/openreseurope.13689.1
Henrique,Barros,additional,,10.12688/openreseurope.13689.1
Lilly Paulin,Werk,first,,10.12688/openreseurope.13192.1
Beate,Muschalla,additional,,10.12688/openreseurope.13192.1
Robert,Brückmann,first,,10.12688/openreseurope.13969.1
Agustin,Roth,additional,,10.12688/openreseurope.13969.1
Moïra,Jimeno,additional,,10.12688/openreseurope.13969.1
Jörn,Banasiak,additional,,10.12688/openreseurope.13969.1
Mak,Đukan,additional,,10.12688/openreseurope.13969.1
Lena,Kitzing,additional,,10.12688/openreseurope.13969.1
Vasilios,Anatolitis,additional,,10.12688/openreseurope.13969.1
Anastasia,Zabaniotou,first,,10.12688/openreseurope.13340.1
Carlos,del Cañizo,first,,10.12688/openreseurope.13069.2
Ana Belén,Cristóbal,additional,,10.12688/openreseurope.13069.2
Luisa,Barbosa,additional,,10.12688/openreseurope.13069.2
Gema,Revuelta,additional,,10.12688/openreseurope.13069.2
Sabine,Haas,additional,,10.12688/openreseurope.13069.2
Marta,Victoria,additional,,10.12688/openreseurope.13069.2
Martin,Brocklehurst,additional,,10.12688/openreseurope.13069.2
Mariana,Hassegawa,first,,10.12688/openreseurope.14413.1
Anna,Karlberg,additional,,10.12688/openreseurope.14413.1
Magnus,Hertzberg,additional,,10.12688/openreseurope.14413.1
Pieter Johannes,Verkerk,additional,,10.12688/openreseurope.14413.1
Darko,Bozhinoski,first,,10.12688/openreseurope.14025.1
Mauro,Birattari,additional,,10.12688/openreseurope.14025.1
Adriano C.,Lima,first,,10.12688/openreseurope.14145.1
Edouard,Royer,additional,,10.12688/openreseurope.14145.1
Matteo,Bolzonella,additional,,10.12688/openreseurope.14145.1
Roberto,Pastres,additional,,10.12688/openreseurope.14145.1
Nanasaheb,Thorat,first,,10.12688/openreseurope.13841.1
Sabrina,Pricl,additional,,10.12688/openreseurope.13841.1
Abdul K.,Parchur,additional,,10.12688/openreseurope.13841.1
Sandeep B.,Somvanshi,additional,,10.12688/openreseurope.13841.1
Qifei,Li,additional,,10.12688/openreseurope.13841.1
Sachin,Umrao,additional,,10.12688/openreseurope.13841.1
Helen,Townley,additional,,10.12688/openreseurope.13841.1
Thijs,Devriendt,first,,10.12688/openreseurope.13860.1
Clemens,Ammann,additional,,10.12688/openreseurope.13860.1
Folkert,W. Asselbergs,additional,,10.12688/openreseurope.13860.1
Alexander,Bernier,additional,,10.12688/openreseurope.13860.1
Rodrigo,Costas,additional,,10.12688/openreseurope.13860.1
Matthias G.,Friedrich,additional,,10.12688/openreseurope.13860.1
Josep L.,Gelpi,additional,,10.12688/openreseurope.13860.1
Marjo-Riitta,Jarvelin,additional,,10.12688/openreseurope.13860.1
Kari,Kuulasmaa,additional,,10.12688/openreseurope.13860.1
Karim,Lekadir,additional,,10.12688/openreseurope.13860.1
Michaela Th.,Mayrhofer,additional,,10.12688/openreseurope.13860.1
Vaclav,Papez,additional,,10.12688/openreseurope.13860.1
