given,family,sequence,affiliation,DOI
Junxia,Chen,first,"P.E School, Hubei University, Wuhan City, Hubei Province, P.R. China",10.7717/peerj.11089
Chunhe,Zhang,additional,"P.E School, Hubei University, Wuhan City, Hubei Province, P.R. China",10.7717/peerj.11089
Sheng,Chen,additional,"P.E School, Hubei University, Wuhan City, Hubei Province, P.R. China",10.7717/peerj.11089
Yuhua,Zhao,additional,"P.E School, Hubei University, Wuhan City, Hubei Province, P.R. China",10.7717/peerj.11089
Francisco J.,Espinosa-García,first,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, Universidad Nacional Autónoma de México, Morelia, Michoacán, México",10.7717/peerj.11796
Yolanda M.,García-Rodríguez,additional,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, Universidad Nacional Autónoma de México, Morelia, Michoacán, México",10.7717/peerj.11796
Angel E.,Bravo-Monzón,additional,"Escuela Nacional de Estudios Superiores Mérida, Universidad Nacional Autónoma de México, Mérida,  Yucatán, México",10.7717/peerj.11796
Ernesto V.,Vega-Peña,additional,"Instituto de Investigaciones en Ecosistemas y Sustentabilidad, Universidad Nacional Autónoma de México, Morelia, Michoacán, México",10.7717/peerj.11796
Guillermo,Delgado-Lamas,additional,"Instituto de Química, Universidad Nacional Autónoma de México, Ciudad de México, Mexico",10.7717/peerj.11796
Rehema,Liyai,first,"Department of Zoology, Maseno University College, Kisumu, Kenya + Basic Science Laboratory, United States Army Medical Research Directorate-Africa, Kisumu, Kenya",10.7717/peerj.12067
Gathii,Kimita,additional,"Basic Science Laboratory, United States Army Medical Research Directorate-Africa, Kisumu, Kenya",10.7717/peerj.12067
Clement,Masakhwe,additional,"Basic Science Laboratory, United States Army Medical Research Directorate-Africa, Kisumu, Kenya",10.7717/peerj.12067
David,Abuom,additional,"Entomology Section, United States Medical Research Directorate-Africa, Kisumu, Kenya",10.7717/peerj.12067
Beth,Mutai,additional,"Basic Science Laboratory, United States Army Medical Research Directorate-Africa, Kisumu, Kenya",10.7717/peerj.12067
David Miruka,Onyango,additional,"Department of Zoology, Maseno University College, Kisumu, Kenya",10.7717/peerj.12067
John,Waitumbi,additional,"Basic Science Laboratory, United States Army Medical Research Directorate-Africa, Kisumu, Kenya",10.7717/peerj.12067
Jie,Li,first,"College of Agronomy, Xinyang Agriculture and Forestry University, Xinyang, Henan Province, China",10.7717/peerj.10617
Xinhao,Liu,additional,"Central Laboratory, Xinyang Agriculture and Forestry University, Xinyang, Henan Province, China",10.7717/peerj.10617
Qingmei,Wang,additional,"Central Laboratory, Xinyang Agriculture and Forestry University, Xinyang, Henan Province, China",10.7717/peerj.10617
Junyan,Sun,additional,"College of Agronomy, Xinyang Agriculture and Forestry University, Xinyang, Henan Province, China",10.7717/peerj.10617
Dexian,He,additional,"Collaborative Innovation Center of Henan Grain Crops/National Key Laboratory of Wheat and Maize Crop Science, College of Agronomy, Henan Agricultural University, Zhengzhou, China",10.7717/peerj.10617
Bono,Nethathe,first,"Department of Paraclinical Science, University of Pretoria, Onderstepoort, Pretoria, South Africa + Department of Food Science and Technology, University of Venda for Science and Technology,  Thohoyandou, Limpopo, South Africa",10.7717/peerj.12002
John,Chipangura,additional,"Department of Paraclinical Science, University of Pretoria, Onderstepoort, Pretoria, South Africa",10.7717/peerj.12002
Ibrahim Zubairu,Hassan,additional,"Department of Paraclinical Science, University of Pretoria, Onderstepoort, Pretoria, South Africa",10.7717/peerj.12002
Neil,Duncan,additional,"Department of Pathology, University of Pretoria, Onderstepoort, Pretoria, South Africa",10.7717/peerj.12002
Emmanuel Oluwasegun,Adawaren,additional,"Department of Paraclinical Science, University of Pretoria, Onderstepoort, Pretoria, South Africa",10.7717/peerj.12002
Lauren,Havenga,additional,"Department of Anatomy and Physiology, University of Pretoria, Onderstepoort, Pretoria, South Africa",10.7717/peerj.12002
