given,family,sequence,affiliation,DOI
HyunJin,Kim,first,,10.7717/peerj-cs.454
Rodolfo,Mosquera Navarro,first,"Departamento de Ingeniería Industrial, Universidad Nacional de Colombia, Manizales, Caldas, Colombia + Grupo Nuevas tecnologías trabajo y gestión, Universidad de San Buenaventura - Cali, Cali, Valle del Cauca, Colombia",10.7717/peerj-cs.511
Omar Danilo,Castrillón,additional,"Departamento de Ingeniería Industrial, Universidad Nacional de Colombia, Manizales, Caldas, Colombia",10.7717/peerj-cs.511
Liliana,Parra Osorio,additional,"Centro de Investigaciones Socio jurídicas, Facultad de Derecho, Universidad Libre, Bogotá, Cundinamarca, Colombia",10.7717/peerj-cs.511
Tiago,Oliveira,additional,"Algoritmi Center, Universidade do Minho, Minho, Braga, Portugal",10.7717/peerj-cs.511
Paulo,Novais,additional,"Department of Informatics/Algoritmi Center, Universidade do Minho, Minho, Braga, Portugal",10.7717/peerj-cs.511
José Fernando,Valencia,additional,"Department of Ciencias y Tecnologías de la Información, Universidad de San Buenaventura - Cali, Cali, Valle del Cauca, Colombia",10.7717/peerj-cs.511
Fabián,Fernández-Vera,first,"Department of Computer Science, Universidad Católica de la Santísima Concepción, Concepción, Chile",10.7717/peerj-cs.848
Denisse C.,Urrutia,additional,"Department of Computer Science, Universidad Católica de la Santísima Concepción, Concepción, Chile",10.7717/peerj-cs.848
Pedro O.,Rossel,additional,"Department of Computer Science, Universidad Católica de la Santísima Concepción, Concepción, Chile + Centro de Investigación en Biodiversidad y Ambientes Sustentables (CIBAS), Universidad Católica de la Santísima Concepción, Concepción, Chile",10.7717/peerj-cs.848
Valeria,Herskovic,additional,"Department of Computer Science, Pontificia Universidad Católica de Chile, Santiago, Chile",10.7717/peerj-cs.848
Carolina,Fuentes,additional,"School of Computer Science and Informatics, Cardiff University, Cardiff, United Kingdom",10.7717/peerj-cs.848
Abeeku Sam,Edu,first,"Management Information Systems, Cyprus International University, Nicosai, Cyprus",10.7717/peerj-cs.658
Mary,Agoyi,additional,"Information Technology, Cyprus International University, Nicosia, Cyprus",10.7717/peerj-cs.658
Divine,Agozie,additional,"Management Information Systems, Cyprus International University, Nicosai, Cyprus",10.7717/peerj-cs.658
Priyanka,Majumder,first,"Department of Basic Science and Humanities, Techno College of Engineering Agartala, Agartala, Tripura, India",10.7717/peerj-cs.453
Valentina Emilia,Balas,additional,"Department of Automation and Applied Informatics, Aurel Vlaicu University of Arad, Arad, Romania",10.7717/peerj-cs.453
Arnab,Paul,additional,"Department of Basic Science and Humanities, Techno College of Engineering Agartala, Agartala, Tripura, India",10.7717/peerj-cs.453
Dayarnab,Baidya,additional,"Department of Electronics & Instrumentation Engineering, National Institute of Technology Silchar, Assam, Silchar, India",10.7717/peerj-cs.453
Hrishee,Shastri,first,"Department of Computer Science, Reed College, Portland, OR, United States of America",10.7717/peerj-cs.561
Eitan,Frachtenberg,additional,"Department of Computer Science, Reed College, Portland, OR, United States of America",10.7717/peerj-cs.561
