DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.7717/peerj-cs.454,10.7717,AresB-Net: accurate residual binarized neural networks using shortcut concatenation and shuffled grouped convolution,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.454,2021-3-26,2021-3-26,2021-3-26,2022-1-3,2021-3-26,48,1,journal-article,4443
10.7717/peerj-cs.511,10.7717,Improving classification based on physical surface tension-neural net for the prediction of psychosocial-risk level in public school teachers,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.511,2021-5-26,2021-5-26,2021-5-26,2021-12-31,2021-5-26,59,1,journal-article,4443
10.7717/peerj-cs.848,10.7717,Social+Me: a persuasive application to increase communication between students and their support networks in Southern Chile,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.848,2022-1-27,2022-1-27,2022-1-27,2022-1-28,2022-1-27,73,0,journal-article,4443
10.7717/peerj-cs.658,10.7717,Digital security vulnerabilities and threats implications for financial institutions deploying digital technology platforms and application: FMEA and FTOPSIS analysis,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.658,2021-8-3,2021-8-3,2021-8-3,2021-12-8,2021-8-3,71,0,journal-article,4443
10.7717/peerj-cs.453,10.7717,Application of improved fuzzy best worst analytic hierarchy process on renewable energy,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.453,2021-4-13,2021-4-13,2021-4-13,2021-12-9,2021-4-13,62,0,journal-article,4443
10.7717/peerj-cs.561,10.7717,An analysis of the locality of binary representations in genetic and evolutionary algorithms,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.561,2021-5-25,2021-5-25,2021-5-25,2021-12-13,2021-5-25,61,0,journal-article,4443
10.7717/peerj-cs.443,10.7717,"Feature-based detection of automated language models: tackling GPT-2, GPT-3 and Grover",en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.443,2021-4-6,2021-4-6,2021-4-6,2021-12-13,2021-4-6,50,0,journal-article,4443
10.7717/peerj-cs.741,10.7717,Towards an Arabic Sign Language (ArSL) corpus for deaf drivers,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.741,2021-11-19,2021-11-19,2021-11-19,2021-12-13,2021-11-19,38,0,journal-article,4443
10.7717/peerj-cs.415,10.7717,Satellite imagery and machine learning for identification of aridity risk in central Java Indonesia,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.415,2021-5-18,2021-5-18,2021-5-18,2021-12-12,2021-5-18,42,0,journal-article,4443
10.7717/peerj-cs.332,10.7717,Solution strategy based on Gaussian mixture models and dispersion reduction for the capacitated centered clustering problem,en,PeerJ Computer Science,2376-5992,PeerJ,http://dx.doi.org/10.7717/peerj-cs.332,2021-2-3,2021-2-3,2021-2-3,2021-12-12,2021-2-3,27,0,journal-article,4443
