DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.7717/peerj.11089,10.7717,Effects of functional correction training on injury risk of athletes: a systematic review and meta-analysis,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11089,2021-3-25,2021-3-25,2021-3-25,2021-12-8,2021-3-25,62,0,journal-article,4443
10.7717/peerj.11796,10.7717,Implications of the foliar phytochemical diversity of the avocado crop Persea americana cv. Hass in its susceptibility to pests and pathogens,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11796,2021-7-20,2021-7-20,2021-7-20,2021-12-9,2021-7-20,100,0,journal-article,4443
10.7717/peerj.12067,10.7717,"The spleen bacteriome of wild rodents and shrews from Marigat, Baringo County, Kenya",en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12067,2021-9-2,2021-9-2,2021-9-2,2021-12-8,2021-9-2,43,0,journal-article,4443
10.7717/peerj.10617,10.7717,Genome-wide identification and analysis of cystatin family genes in Sorghum (Sorghum bicolor (L.) Moench),en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.10617,2021-1-21,2021-1-21,2021-1-21,2021-12-8,2021-1-21,52,1,journal-article,4443
10.7717/peerj.12002,10.7717,Diclofenac toxicity in susceptible bird species results from a combination of reduced glomerular filtration and plasma flow with subsequent renal tubular necrosis,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12002,2021-8-23,2021-8-23,2021-8-23,2021-12-8,2021-8-23,53,0,journal-article,4443
10.7717/peerj.12377,10.7717,Gene polymorphisms in ULK1 and PIK3CA are associated with the risk of microscopic polyangiitis in the Guangxi Zhuang Autonomous Region in China,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12377,2021-11-9,2021-11-9,2021-11-9,2021-12-9,2021-11-9,30,0,journal-article,4443
10.7717/peerj.11813,10.7717,Aberrant expression of PROS1 correlates with human papillary thyroid cancer progression,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11813,2021-8-3,2021-8-3,2021-8-3,2021-12-9,2021-8-3,62,0,journal-article,4443
10.7717/peerj.12033,10.7717,Desulfovibrio is not always associated with adverse health effects in the Guangdong Gut Microbiome Project,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12033,2021-8-18,2021-8-18,2021-8-18,2021-12-8,2021-8-18,38,0,journal-article,4443
10.7717/peerj.11937,10.7717,"Nitrous oxide, methane emissions and grain yield in rainfed wheat grown under nitrogen enriched biochar and straw in a semiarid environment",en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11937,2021-8-19,2021-8-19,2021-8-19,2021-12-9,2021-8-19,61,0,journal-article,4443
10.7717/peerj.11535,10.7717,Effects of thiourea on the skull of Triturus newts during ontogeny,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11535,2021-6-2,2021-6-2,2021-6-2,2021-12-9,2021-6-2,63,2,journal-article,4443
10.7717/peerj.11644,10.7717,"Recovery of antimicrobial susceptibility in methicillin-resistant Staphylococcus aureus (MRSA): a retrospective, epidemiological analysis in a secondary care hospital, Sapporo, Japan",en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11644,2021-6-21,2021-6-21,2021-6-21,2021-12-9,2021-6-21,31,0,journal-article,4443
10.7717/peerj.12651,10.7717,Putative fossil blood cells reinterpreted as diagenetic structures,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12651,2021-12-16,2021-12-16,2021-12-16,2021-12-17,2021-12-16,81,0,journal-article,4443
10.7717/peerj.12598,10.7717,Wearable technology to inform the prediction and diagnosis of cardiorespiratory events: a scoping review,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12598,2021-12-22,2021-12-22,2021-12-22,2021-12-23,2021-12-22,65,0,journal-article,4443
10.7717/peerj.10747,10.7717,Examining long-term natural vegetation dynamics in the Aral Sea Basin applying the linear spectral mixture model,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.10747,2021-3-2,2021-3-2,2021-3-2,2021-12-23,2021-3-2,70,1,journal-article,4443
10.7717/peerj.11552,10.7717,Dynamic residue interaction network analysis of the oseltamivir binding site of N1 neuraminidase and its H274Y mutation site conferring drug resistance in influenza A virus,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.11552,2021-6-2,2021-6-2,2021-6-2,2021-12-23,2021-6-2,62,2,journal-article,4443
10.7717/peerj.10514,10.7717,Effect of ultra-processed foods consumption on glycemic control and gestational weight gain in pregnant with pregestational diabetes mellitus using carbohydrate counting,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.10514,2021-2-1,2021-2-1,2021-2-1,2021-12-23,2021-2-1,40,4,journal-article,4443
10.7717/peerj.12444,10.7717,Genetic structure of marine and lake forms of Pacific herring Clupea pallasii,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.12444,2021-11-2,2021-11-2,2021-11-2,2021-12-22,2021-11-2,61,0,journal-article,4443
10.7717/peerj.10988,10.7717,Stimulus–response complexity influences task-set inhibition in task switching,en,PeerJ,2167-8359,PeerJ,http://dx.doi.org/10.7717/peerj.10988,2021-3-30,2021-3-30,2021-3-30,2021-12-22,2021-3-30,32,0,journal-article,4443
