DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.1177/2158244020988855,10.1177,Toward a Self-Adaptive Cyberdefense Framework in Organization,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/2158244020988855,2021-1,2021-1,2021-1-23,2021-12-29,2021-1-23,44,2,journal-article,179
10.1177/21582440211068480,10.1177,Complementary and Alternative Medicine Use in Slovakia: Results of a National Population Survey,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211068480,2022-1,2022-1,2022-1-6,2022-1-7,2022-1-6,47,0,journal-article,179
10.1177/21582440211068484,10.1177,Assessing the Efficiency of Venture Capital Functioning in the Transforming Economy in UAE and China by a Mathematical Model,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211068484,2022-1,2022-1,2022-1-6,2022-1-7,2022-1-6,45,0,journal-article,179
10.1177/21582440211030274,10.1177,"Building a Personal Brand as a CEO: A Case Study of Vivy Yusof, the Cofounder of FashionValet and the dUCk Group",en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211030274,2021-7,2021-7,2021-7-30,2022-1-15,2021-7-30,47,1,journal-article,179
10.1177/21582440211067252,10.1177,Visualizing the Knowledge Domain of Language Experience: A Bibliometric Analysis,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211067252,2022-1,2022-1,2022-1-22,2022-1-28,2022-1-22,74,0,journal-article,179
10.1177/21582440211043928,10.1177,Validation of an Assessment Tool to Measure Psycho-Social Factors Associated With Willingness to Participate in Child-Centered Initiatives,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211043928,2021-7,2021-7,2021-9-3,2021-12-8,2021-9-3,61,0,journal-article,179
10.1177/21582440211031532,10.1177,Teungku Identity Development: The Role of Dayah Community of Practice,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211031532,2021-7,2021-7,2021-7-12,2021-12-8,2021-7-13,56,0,journal-article,179
10.1177/2158244021999379,10.1177,Analysis on the Sources of China’s Economic Growth From the Perspective of Cleaner Production,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/2158244021999379,2021-4,2021-4,2021-4-23,2021-12-8,2021-4-23,39,0,journal-article,179
10.1177/21582440211061560,10.1177,"The Relationship of Work-Related ICT Use With Well-being, Incorporating the Role of Resources and Demands: A Meta-Analysis",en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211061560,2021-10,2021-10,2021-11-29,2021-12-8,2021-11-30,140,0,journal-article,179
10.1177/21582440211047586,10.1177,"Migrant Workers in the Seaweed Sector in Sabah, Malaysia",en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211047586,2021-7,2021-7,2021-9-22,2021-12-8,2021-9-23,31,0,journal-article,179
10.1177/21582440211058188,10.1177,Project Managers’ Competencies in International Development Projects: A Delphi Study,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211058188,2021-10,2021-10,2021-11-18,2021-12-9,2021-11-19,109,0,journal-article,179
10.1177/21582440211023159,10.1177,A Content Analysis of English Textbook of Punjab Textbook Board of Grade 8 in Pakistan,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211023159,2021-4,2021-4,2021-6-15,2021-12-13,2021-6-16,20,0,journal-article,179
10.1177/21582440211035767,10.1177,Change in Household Environment Condition in India: Evidence From Panel Data,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211035767,2021-10,2021-10,2021-10-15,2021-12-13,2021-10-15,32,0,journal-article,179
10.1177/2158244021991815,10.1177,Developing Academic Leaders: Evaluation of a Leadership Development Intervention in Higher Education,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/2158244021991815,2021-1,2021-1,2021-2-9,2021-12-12,2021-2-13,27,2,journal-article,179
10.1177/21582440211033557,10.1177,“Man-as-Nation”: Representations of Masculinity and Nationalism in Wu Jing’s Wolf Warrior II,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211033557,2021-7,2021-7,2021-7-23,2021-12-12,2021-7-23,73,0,journal-article,179
10.1177/21582440211006708,10.1177,Nigerian Civil Society Situation Room (NCSSR) and Electioneering Process in Nigeria (2015–2019),en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211006708,2021-4,2021-4,2021-4-10,2021-12-13,2021-4-10,40,0,journal-article,179
10.1177/21582440221082863,10.1177,Transgender Equity in the Workplace: A Systematic Review,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440221082863,2022-1,2022-1,2022-3-10,2022-3-11,2022-3-11,18,0,journal-article,179
10.1177/21582440211023170,10.1177,The Experiences of Mothers in a Neonatal Unit and Their Use of the Babble App,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211023170,2021-4,2021-4,2021-6-18,2022-3-11,2021-6-18,4,1,journal-article,179
10.1177/21582440221082137,10.1177,"The Efficient Market Hypothesis and the Fractal Market Hypothesis: Interfluves, Fusions, and Evolutions",en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440221082137,2022-1,2022-1,2022-3-11,2022-3-12,2022-3-12,60,0,journal-article,179
10.1177/21582440211015716,10.1177,“Celebrity Avatar” Feasting on In-Game Items: A Gamers’ Play Arena,en,SAGE Open,"2158-2440, 2158-2440",SAGE Publications,http://dx.doi.org/10.1177/21582440211015716,2021-4,2021-4,2021-5-14,2022-3-11,2021-5-14,104,2,journal-article,179
