DOI,prefix,title,language,container-title,ISSN,publisher,URL,issued,published,published-online,indexed,created,reference-count,is-referenced-by-count,type,member
10.12688/openreseurope.13663.1,10.12688,"In poetry, if meter has to help memory, it takes its time",en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13663.1,2021-5-28,2021-5-28,2021-5-28,2022-1-28,2021-5-28,30,1,journal-article,2560
10.12688/openreseurope.13721.1,10.12688,Exploring the impacts of social media and crowdsourcing on disaster resilience,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13721.1,2021-6-1,2021-6-1,2021-6-1,2021-12-9,2021-6-1,43,0,journal-article,2560
10.12688/openreseurope.13639.2,10.12688,How many online workers are there in the world? A data-driven assessment,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13639.2,2021-9-1,2021-9-1,2021-9-1,2021-12-13,2021-9-1,27,0,journal-article,2560
10.12688/openreseurope.13358.2,10.12688,The existential stakes of platform governance: a critical literature review,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13358.2,2021-7-1,2021-7-1,2021-7-1,2021-12-13,2021-7-1,73,0,journal-article,2560
10.12688/openreseurope.13286.1,10.12688,Hypertension and diabetes patients’ perspective of challenges and their coping mechanisms in Mukono and Buikwe districts in Uganda – a qualitative study,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13286.1,2021-3-26,2021-3-26,2021-3-26,2021-12-11,2021-3-26,44,0,journal-article,2560
10.12688/openreseurope.13342.1,10.12688,Data Management Plans in Horizon 2020: what beneficiaries think and what we can learn from their experience,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13342.1,2021-4-23,2021-4-23,2021-4-23,2021-12-19,2021-4-23,13,0,journal-article,2560
10.12688/openreseurope.13683.1,10.12688,COVID-19 vs. stakeholder engagement: the impact of coronavirus containment measures on stakeholder involvement in European energy research projects,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13683.1,2021-5-25,2021-5-25,2021-5-25,2021-12-19,2021-5-25,27,0,journal-article,2560
10.12688/openreseurope.13689.1,10.12688,Record linkage of population-based cohort data from minors with national register data: a scoping review and comparative legal analysis of four European countries,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13689.1,2021-5-27,2021-5-27,2021-5-27,2021-12-18,2021-5-27,90,0,journal-article,2560
10.12688/openreseurope.13192.1,10.12688,"Workplace mental health promotion in a large state organization: Perceived needs, expected effects, neglected side effects",en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13192.1,2021-3-24,2021-3-24,2021-3-24,2021-12-9,2021-3-24,51,0,journal-article,2560
10.12688/openreseurope.13969.1,10.12688,Financing conditions of renewable energy projects – results from an EU wide survey,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13969.1,2021-11-12,2021-11-12,2021-11-12,2021-12-11,2021-11-12,4,0,journal-article,2560
10.12688/openreseurope.13340.1,10.12688,Soft female leadership (SFL) framework for driving the gender equality change in engineering education: learning outcomes of leader and leadership development,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13340.1,2021-6-10,2021-6-10,2021-6-10,2021-12-11,2021-6-10,82,0,journal-article,2560
10.12688/openreseurope.13069.2,10.12688,"Promoting citizen science in the energy sector: Generation Solar, an open database of small-scale solar photovoltaic installations",en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13069.2,2021-5-21,2021-5-21,2021-5-21,2021-12-19,2021-5-21,34,0,journal-article,2560
10.12688/openreseurope.14413.1,10.12688,Innovative forest products in the circular bioeconomy,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14413.1,2022-2-9,2022-2-9,2022-2-9,2022-2-9,2022-2-9,73,0,journal-article,2560
10.12688/openreseurope.14025.1,10.12688,Towards an integrated automatic design process for robot swarms,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14025.1,2021-9-27,2021-9-27,2021-9-27,2022-2-8,2021-9-27,56,1,journal-article,2560
10.12688/openreseurope.14145.1,10.12688,Digital twins for land-based aquaculture: A case study for rainbow trout (Oncorhynchus mykiss),en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14145.1,2022-2-4,2022-2-4,2022-2-4,2022-2-8,2022-2-4,27,0,journal-article,2560
10.12688/openreseurope.13841.1,10.12688,Safeguarding COVID-19 and cancer management: drug design and therapeutic approach,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13841.1,2021-7-5,2021-7-5,2021-7-5,2021-12-17,2021-7-5,89,0,journal-article,2560
10.12688/openreseurope.13860.1,10.12688,An agenda-setting paper on data sharing platforms: euCanSHare workshop,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13860.1,2021-7-19,2021-7-19,2021-7-19,2021-12-17,2021-7-19,83,0,journal-article,2560
10.12688/openreseurope.13843.2,10.12688,Automated identification of borrowings in multilingual wordlists,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13843.2,2021-8-24,2021-8-24,2021-8-24,2021-12-11,2021-8-24,62,0,journal-article,2560
10.12688/openreseurope.13277.2,10.12688,"Presence, flow, and narrative absorption questionnaires: a scoping review",en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13277.2,2021-11-4,2021-11-4,2021-11-4,2021-12-9,2021-11-4,49,0,journal-article,2560
10.12688/openreseurope.13073.2,10.12688,Simple and robust method for determination of laser fluence thresholds for material modifications: an extension of Liu’s approach to imperfect beams,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13073.2,2021-6-25,2021-6-25,2021-6-25,2021-12-10,2021-6-25,36,0,journal-article,2560
10.12688/openreseurope.13843.1,10.12688,Automated identification of borrowings in multilingual wordlists,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13843.1,2021-7-15,2021-7-15,2021-7-15,2021-12-10,2021-7-15,53,0,journal-article,2560
10.12688/openreseurope.13218.1,10.12688,Tower of Babel: transcendental linguistics in Friedrich von Hardenberg’s (Novalis) Fichte Studies,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13218.1,2021-4-1,2021-4-1,2021-4-1,2021-12-13,2021-4-1,42,0,journal-article,2560
10.12688/openreseurope.14029.1,10.12688,A new nomenclature for the livestock-associated Mycobacterium tuberculosis complex based on phylogenomics,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14029.1,2021-8-25,2021-8-25,2021-8-25,2021-12-16,2021-8-25,88,0,journal-article,2560
10.12688/openreseurope.13339.1,10.12688,The development of a four-tier test to evaluate research integrity training,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13339.1,2021-8-4,2021-8-4,2021-8-4,2021-12-15,2021-8-4,51,0,journal-article,2560
10.12688/openreseurope.14060.1,10.12688,Mission-based optimal morphing parameters for rotors with combined chord and twist morphing,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14060.1,2021-10-12,2021-10-12,2021-10-12,2021-12-16,2021-10-13,25,0,journal-article,2560
10.12688/openreseurope.14117.1,10.12688,"Basic taste sensitivity, eating behaviour, and propensity of dairy foods of preadolescent children: How are they related?",en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14117.1,2021-10-20,2021-10-20,2021-10-20,2021-12-16,2021-10-20,104,0,journal-article,2560
10.12688/openreseurope.14499.1,10.12688,Identifying entrepreneurial discovery processes with weak and strong technology signals: a text mining approach,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.14499.1,2022-2-28,2022-2-28,2022-2-28,2022-2-28,2022-2-28,41,0,journal-article,2560
10.12688/openreseurope.13987.1,10.12688,Chromosome-scale assembly of the yellow mealworm genome,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13987.1,2021-8-17,2021-8-17,2021-8-17,2022-2-28,2021-8-17,46,0,journal-article,2560
10.12688/openreseurope.13255.2,10.12688,Do fluorocarbons substantially increase transdermal oxygen delivery? A proof-of-principle study in mice,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13255.2,2021-9-30,2021-9-30,2021-9-30,2021-12-17,2021-9-30,23,0,journal-article,2560
10.12688/openreseurope.13624.1,10.12688,Fewest switches surface hopping with Baeck-An couplings,en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13624.1,2021-5-17,2021-5-17,2021-5-17,2022-3-9,2021-5-17,89,1,journal-article,2560
10.12688/openreseurope.13193.2,10.12688,"Presence, flow, and narrative absorption: an interdisciplinary theoretical exploration with a new spatiotemporal integrated model based on predictive processing",en,Open Research Europe,2732-5121,F1000 Research Ltd,http://dx.doi.org/10.12688/openreseurope.13193.2,2021-7-23,2021-7-23,2021-7-23,2021-12-22,2021-7-23,191,0,journal-article,2560
