given,family,sequence,affiliation,DOI
Kuan-Jui,Huang,first,"National Chengchi University, Taipei + National Taiwan University, Taipei",10.1177/2158244020988855
Kuo-Huie,Chiang,additional,"National Chengchi University, Taipei",10.1177/2158244020988855
Ivan,Souček,first,"Matej Bel University in Banská Bystrica, Slovakia",10.1177/21582440211068480
Roman,Hofreiter,additional,"Matej Bel University in Banská Bystrica, Slovakia",10.1177/21582440211068480
Husam,Wahdan,first,"Glorious Sun School of Business and Management, Donghua University, Shanghai, China",10.1177/21582440211068484
Zeng Rui,Tian,additional,"Glorious Sun School of Business and Management, Donghua University, Shanghai, China",10.1177/21582440211068484
Nor Hasliza,Md Saad,first,"School of Management, Universiti Sains Malaysia, Penang, Malaysia",10.1177/21582440211030274
Zulnaidi,Yaacob,additional,"School of Distance Education, Universiti Sains Malaysia, Penang, Malaysia",10.1177/21582440211030274
Jiaxing,Jiang,first,"Beijing Foreign Studies University, China",10.1177/21582440211067252
Lin,Fan,additional,"Beijing Foreign Studies University, China",10.1177/21582440211067252
Ghouwa,Ismail,first,"Institute for Social and Health Sciences, University of South Africa, Lenasia, Johannesburg, South Africa + South African Medical Reseach Council-University of South Africa Masculinity and Health Research Unit, Tygerberg, Cape Town, South Africa",10.1177/21582440211043928
Ashley,Van Niekerk,additional,"Institute for Social and Health Sciences, University of South Africa, Lenasia, Johannesburg, South Africa + South African Medical Reseach Council-University of South Africa Masculinity and Health Research Unit, Tygerberg, Cape Town, South Africa",10.1177/21582440211043928
Jarjani,Usman,first,"Universitas Islam Negeri Ar-Raniry, Banda Aceh, Indonesia",10.1177/21582440211031532
Syabuddin,Syabuddin,additional,"Universitas Islam Negeri Ar-Raniry, Banda Aceh, Indonesia",10.1177/21582440211031532
Faishal,Zakaria,additional,"Universitas Islam Negeri Ar-Raniry, Banda Aceh, Indonesia",10.1177/21582440211031532
Na,Zhou,first,"Shandong University of Science and Technology, Qingdao, China",10.1177/2158244021999379
